5/30/25,,,,,,,,,,
CHAOS,,,,,,,,,,
Offensive,,,,,,,,,,
,P,1G,2G,A,Sh,Sh%,GB,TO,TCH,PAS
Adler profile,,,,,,,,,,
G. Adler,,,,,,,,,,
D,,,,,,,,,,
26,0,1,3,1,10,37,,,,
Costabile profile,,,,,,,,,,
B. Costabile,,,,,,,,,,
M,,,,,,,,,,
2,0,1,2,0,5,17,,,,
Traynor profile,,,,,,,,,,
M. Traynor,,,,,,,,,,
M,,,,,,,,,,
44,0,1,0,0,0,19,,,,
Entenmann profile,,,,,,,,,,
L. Entenmann,,,,,,,,,,
G,,,,,,,,,,
57,0,1,0,1,0,7,,,,
Comizio profile,,,,,,,,,,
C. Comizio,,,,,,,,,,
SSDM,,,,,,,,,,
91,0,1,0,0,0,6,,,,
Logan profile,,,,,,,,,,
D. Logan,,,,,,,,,,
SSDM,,,,,,,,,,
Faceoff,,,,,,,,,,
,FO,FO%,P,A,GB,Sh,TCH,,,
9,17 - 22,77.30%,0,0,10,1,14,,,
Baptiste profile,,,,,,,,,,
T. Baptiste,,,,,,,,,,
FO,,,,,,,,,,
Goalie,,,,,,,,,,
,SA,Sv%,Sv,,,,,,,
44,8,66.70%,16,,,,,,,
Entenmann profile,,,,,,,,,,
L. Entenmann,,,,,,,,,,
G,,,,,,,,,,
