,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Outlaws logo,454,4.63%,3.52%,74.89%,19.82%,5.29%
Pat Kavanagh,,,,,,
Redwoods logo,405,5.68%,2.96%,77.78%,19.26%,2.96%
Chris Kavanagh,,,,,,
Cannons logo,376,3.72%,1.33%,82.45%,14.63%,2.93%
Marcus Holman,,,,,,
Atlas logo,376,4.52%,6.12%,75.53%,18.35%,6.12%
Jeff Teat,,,,,,
Outlaws logo,365,6.30%,2.19%,73.42%,23.29%,3.29%
Brennan O'Neill,,,,,,
Atlas logo,361,6.37%,6.37%,82.55%,13.30%,4.16%
Connor Shellenberger,,,,,,
Redwoods logo,325,4.31%,2.46%,79.69%,14.77%,5.54%
Ryder Garnsey,,,,,,
Waterdogs logo,325,5.54%,7.08%,72.31%,20.00%,7.69%
Michael Sowers,,,,,,
Whipsnakes logo,314,5.73%,4.46%,75.48%,19.75%,4.78%
TJ Malone,,,,,,
Redwoods logo,301,8.64%,1.66%,65.45%,28.90%,5.65%
Dylan Molloy,,,,,,
Whipsnakes logo,294,7.14%,2.72%,76.87%,18.71%,4.42%
Aidan Carroll,,,,,,
Cannons logo,292,3.42%,8.90%,79.79%,12.67%,7.53%
Asher Nolting,,,,,,
Waterdogs logo,284,6.69%,4.23%,73.59%,18.31%,8.10%
Kieran McArdle,,,,,,
Cannons logo,280,6.43%,2.86%,74.64%,22.50%,2.86%
Matt Campbell,,,,,,
Atlas logo,277,5.78%,1.44%,70.04%,22.38%,7.58%
Bryan Costabile,,,,,,
Whipsnakes logo,271,2.58%,4.80%,77.49%,15.50%,7.01%
Rob Pannell,,,,,,
Chaos logo,271,5.17%,0.74%,74.91%,18.45%,6.64%
Adam Charalambides,,,,,,
Chaos logo,264,3.41%,1.89%,82.95%,11.74%,5.30%
Josh Zawada,,,,,,
Redwoods logo,263,5.32%,3.42%,79.85%,15.59%,4.56%
Andrew McAdorey,,,,,,
Whipsnakes logo,258,3.88%,0.39%,76.74%,17.83%,5.43%
Brad Smith,,,,,,
Archers logo,254,5.51%,2.36%,75.20%,18.50%,6.30%
Connor Fields,,,,,,
Outlaws logo,250,5.20%,3.20%,74.80%,17.20%,8.00%
Logan Wisnauskas,,,,,,
Chaos logo,247,4.86%,3.24%,78.54%,15.38%,6.07%
Ross Scott,,,,,,
Cannons logo,247,6.07%,2.02%,73.68%,21.86%,4.45%
Coulter Mackesy,,,,,,
Whipsnakes logo,241,9.13%,1.24%,71.37%,24.07%,4.56%
Matt Brandau,,,,,,
Outlaws logo,236,7.63%,1.69%,70.34%,22.46%,7.20%
Jared Bernhardt,,,,,,
Waterdogs logo,236,6.36%,0.85%,68.64%,25.00%,6.36%
Jack Hannah,,,,,,
Chaos logo,228,7.89%,3.95%,62.28%,30.70%,7.02%
Jackson Eicher,,,,,,
Outlaws logo,226,1.77%,0.88%,81.86%,16.81%,1.33%
Graham Bundy,,,,,,
Waterdogs logo,224,4.46%,1.79%,67.86%,27.23%,4.91%
Connor Kelly,,,,,,
Archers logo,223,5.83%,4.48%,73.54%,17.49%,8.97%
Sam King,,,,,,
Archers logo,215,1.40%,3.72%,77.21%,14.88%,7.91%
Grant Ament,,,,,,
Cannons logo,212,8.49%,0.94%,79.25%,18.40%,2.36%
Ryan Drenner,,,,,,
Chaos logo,209,7.66%,5.26%,70.81%,22.01%,7.18%
Owen Hiltz,,,,,,
Whipsnakes logo,209,3.83%,2.39%,79.90%,15.31%,4.78%
Adam Poitras,,,,,,
Archers logo,207,2.90%,4.35%,73.43%,16.43%,10.14%
Tom Schreiber,,,,,,
Archers logo,205,4.88%,3.41%,72.20%,23.41%,4.39%
Mac O'Keefe,,,,,,
Waterdogs logo,197,4.06%,1.52%,79.19%,15.23%,5.58%
Zach Currier,,,,,,
Atlas logo,189,6.35%,4.23%,65.61%,27.51%,6.88%
Matt Traynor,,,,,,
Atlas logo,183,0.00%,0.55%,95.63%,2.19%,2.19%
Liam Entenmann,,,,,,
Chaos logo,177,0.00%,0.00%,94.92%,2.26%,2.82%
Blaze Riorden,,,,,,
Archers logo,175,0.00%,0.00%,95.43%,0.57%,4.00%
Brett Dobson,,,,,,
Atlas logo,172,12.79%,1.16%,61.63%,31.40%,6.98%
Xander Dickson,,,,,,
Outlaws logo,172,6.40%,3.49%,81.40%,14.53%,4.07%
Dalton Young,,,,,,
Waterdogs logo,171,7.60%,1.17%,79.53%,17.54%,2.92%
Thomas McConvey,,,,,,
Cannons logo,165,0.00%,0.00%,93.94%,1.21%,4.85%
Colin Kirst,,,,,,
Redwoods logo,162,3.09%,0.62%,73.46%,25.93%,0.62%
Romar Dennis,,,,,,
Redwoods logo,158,4.43%,1.27%,81.65%,13.92%,4.43%
Josh Balcarcel,,,,,,
Outlaws logo,157,0.00%,0.00%,95.54%,0.64%,3.82%
Logan McNaney,,,,,,
Outlaws logo,148,6.08%,0.68%,75.68%,18.24%,6.08%
Justin Anderson,,,,,,
Outlaws logo,142,3.52%,1.41%,83.80%,10.56%,5.63%
Ryan Terefenko,,,,,,
Chaos logo,141,3.55%,2.13%,78.01%,15.60%,6.38%
JJ Sillstrop,,,,,,
Redwoods logo,135,0.00%,0.00%,97.04%,0.74%,2.22%
Chayse Ierlan,,,,,,
Redwoods logo,127,1.57%,1.57%,87.40%,10.24%,2.36%
Brian Tevlin,,,,,,
Whipsnakes logo,126,0.00%,0.00%,97.62%,2.38%,0.00%
Emmet Carroll,,,,,,
Chaos logo,121,4.13%,0.83%,69.42%,25.62%,4.96%
Sergio Perkovic,,,,,,
Atlas logo,116,7.76%,0.00%,57.76%,28.45%,13.79%
Jake Stevens,,,,,,
Redwoods logo,116,7.76%,0.00%,69.83%,24.14%,6.03%
Aidan Danenza,,,,,,
Archers logo,115,5.22%,0.87%,72.17%,21.74%,6.09%
Matt Moore,,,,,,
Whipsnakes logo,115,7.83%,0.87%,66.96%,27.83%,5.22%
Levi Anderson,,,,,,
Redwoods logo,113,4.42%,2.65%,71.68%,23.01%,5.31%
Charlie Bertrand,,,,,,
Atlas logo,112,3.57%,0.89%,81.25%,12.50%,6.25%
Trevor Baptiste,,,,,,
Chaos logo,111,0.90%,0.00%,91.89%,3.60%,4.50%
Troy Reh,,,,,,
Cannons logo,109,6.42%,1.83%,60.55%,26.61%,12.84%
Connor Kirst,,,,,,
Archers logo,107,6.54%,0.93%,74.77%,17.76%,7.48%
Ryan Ambler,,,,,,
Waterdogs logo,102,8.82%,3.92%,70.59%,26.47%,2.94%
CJ Kirst,,,,,,
Archers logo,101,4.95%,0.99%,69.31%,22.77%,7.92%
Tre Leclaire,,,,,,
Archers logo,101,1.98%,0.99%,86.14%,5.94%,7.92%
Piper Bond,,,,,,
Whipsnakes logo,98,8.16%,1.02%,68.37%,27.55%,4.08%
Colin Heacock,,,,,,
Whipsnakes logo,98,0.00%,1.02%,92.86%,3.06%,4.08%
Ajax Zappitello,,,,,,
Cannons logo,97,3.09%,2.06%,69.07%,24.74%,6.19%
Mic Kelly,,,,,,
Atlas logo,95,10.53%,3.16%,73.68%,21.05%,5.26%
Reid Bowering,,,,,,
Cannons logo,94,7.45%,3.19%,70.21%,24.47%,5.32%
Will Manny,,,,,,
Cannons logo,94,2.13%,3.19%,92.55%,5.32%,2.13%
Ben Ramsey,,,,,,
Waterdogs logo,93,1.08%,0.00%,88.17%,5.38%,6.45%
Ben Randall,,,,,,
Cannons logo,88,6.82%,0.00%,79.55%,17.05%,3.41%
Jeff Trainor,,,,,,
Outlaws logo,88,5.68%,4.55%,75.00%,17.05%,7.95%
Jake Piseno,,,,,,
Waterdogs logo,87,12.64%,3.45%,51.72%,37.93%,10.34%
Jake Taylor,,,,,,
Outlaws logo,86,3.49%,1.16%,84.88%,10.47%,4.65%
Zach Geddes,,,,,,
Atlas logo,85,1.18%,1.18%,89.41%,5.88%,4.71%
Tyler Carpenter,,,,,,
Chaos logo,84,7.14%,4.76%,69.05%,26.19%,4.76%
Shane Knobloch,,,,,,
Whipsnakes logo,83,1.20%,0.00%,86.75%,6.02%,7.23%
Matthew Dunn,,,,,,
Whipsnakes logo,83,2.41%,0.00%,87.95%,6.02%,6.02%
Joseph Nardella,,,,,,
Archers logo,83,0.00%,1.20%,96.39%,0.00%,3.61%
Brendan Lavelle,,,,,,
Whipsnakes logo,82,1.22%,1.22%,89.02%,7.32%,3.66%
Roman Puglise,,,,,,
Outlaws logo,82,3.66%,1.22%,63.41%,24.39%,12.20%
Luke Wierman,,,,,,
Archers logo,80,1.25%,0.00%,87.50%,10.00%,2.50%
Graeme Hossack,,,,,,
Redwoods logo,80,3.75%,1.25%,72.50%,22.50%,5.00%
Sam Handley,,,,,,
Redwoods logo,79,3.80%,1.27%,74.68%,15.19%,10.13%
Sam English,,,,,,
Archers logo,79,5.06%,1.27%,79.75%,12.66%,7.59%
Beau Pederson,,,,,,
Atlas logo,76,2.63%,0.00%,86.84%,10.53%,2.63%
Brett Makar,,,,,,
Redwoods logo,76,3.95%,3.95%,77.63%,15.79%,6.58%
TD Ierlan,,,,,,
Redwoods logo,76,1.32%,2.63%,82.89%,10.53%,6.58%
Jared Conners,,,,,,
Archers logo,76,15.79%,1.32%,55.26%,36.84%,7.89%
Dyson Williams,,,,,,
Redwoods logo,76,0.00%,0.00%,98.68%,0.00%,1.32%
Chris Conlin,,,,,,
Waterdogs logo,76,3.95%,2.63%,73.68%,18.42%,7.89%
Ben Wayer,,,,,,
Atlas logo,75,6.67%,1.33%,68.00%,26.67%,5.33%
Hugh Kelleher,,,,,,
Whipsnakes logo,74,0.00%,5.41%,72.97%,21.62%,5.41%
Matt Rambo,,,,,,
Cannons logo,74,0.00%,0.00%,95.95%,2.70%,1.35%
Garrett Epple,,,,,,
Waterdogs logo,74,2.70%,0.00%,74.32%,16.22%,9.46%
Alec Stathakis,,,,,,
Chaos logo,74,5.41%,2.70%,72.97%,24.32%,2.70%
Garrett Degnon,,,,,,
Archers logo,73,4.11%,2.74%,79.45%,15.07%,5.48%
Mason Woodward,,,,,,
Waterdogs logo,73,1.37%,1.37%,91.78%,8.22%,0.00%
Dylan Hess,,,,,,
Waterdogs logo,72,2.78%,0.00%,87.50%,9.72%,2.78%
Jimmy Freehill,,,,,,
Waterdogs logo,71,0.00%,0.00%,100.00%,0.00%,0.00%
Matt DeLuca,,,,,,
Chaos logo,70,2.86%,0.00%,84.29%,8.57%,7.14%
Jarrod Neumann,,,,,,
Whipsnakes logo,70,0.00%,0.00%,97.14%,2.86%,0.00%
Tim Muller,,,,,,
Chaos logo,69,2.90%,0.00%,86.96%,10.14%,2.90%
Mark Glicini,,,,,,
Whipsnakes logo,69,1.45%,0.00%,91.30%,7.25%,1.45%
Christian Mazur,,,,,,
Chaos logo,69,7.25%,0.00%,60.87%,31.88%,7.25%
Cross Ferrara,,,,,,
Outlaws logo,68,4.41%,1.47%,83.82%,8.82%,7.35%
Michael Manley,,,,,,
Chaos logo,68,0.00%,0.00%,95.59%,0.00%,4.41%
Jack Rowlett,,,,,,
Redwoods logo,68,0.00%,0.00%,95.59%,0.00%,4.41%
Carter Rice,,,,,,
Outlaws logo,67,0.00%,0.00%,95.52%,1.49%,2.99%
Jesse Bernhardt,,,,,,
Redwoods logo,66,0.00%,0.00%,90.91%,4.55%,4.55%
Chris Fake,,,,,,
Outlaws logo,66,0.00%,1.52%,90.91%,3.03%,6.06%
JT Giles-Harris,,,,,,
Atlas logo,64,0.00%,0.00%,92.19%,4.69%,3.13%
Chet Comizio,,,,,,
Atlas logo,63,0.00%,3.17%,80.95%,7.94%,11.11%
Max Krevsky,,,,,,
Chaos logo,62,3.23%,1.61%,69.35%,17.74%,12.90%
Justin Inacio,,,,,,
Waterdogs logo,62,1.61%,0.00%,87.10%,9.68%,3.23%
Matt Whitcher,,,,,,
Atlas logo,61,1.64%,1.64%,90.16%,4.92%,4.92%
Danny Logan,,,,,,
Outlaws logo,60,3.33%,0.00%,83.33%,11.67%,5.00%
Jonathan Donville,,,,,,
Outlaws logo,60,0.00%,3.33%,68.33%,23.33%,8.33%
Jack VanOverbeke,,,,,,
Atlas logo,59,1.69%,6.78%,83.05%,8.47%,8.47%
Myles Jones,,,,,,
Waterdogs logo,58,0.00%,0.00%,100.00%,0.00%,0.00%
Dillon Ward,,,,,,
Atlas logo,58,6.90%,6.90%,87.93%,10.34%,1.72%
Michael Grace,,,,,,
Archers logo,57,1.75%,3.51%,91.23%,3.51%,5.26%
Connor Maher,,,,,,
Cannons logo,56,0.00%,0.00%,98.21%,1.79%,0.00%
Jack Kielty,,,,,,
Atlas logo,56,0.00%,0.00%,92.86%,0.00%,7.14%
Gavin Adler,,,,,,
Chaos logo,56,0.00%,3.57%,83.93%,8.93%,7.14%
Greg Langermeier,,,,,,
Whipsnakes logo,55,0.00%,1.82%,89.09%,1.82%,9.09%
Colin Squires,,,,,,
Atlas logo,55,1.82%,0.00%,94.55%,1.82%,3.64%
Michael Rexrode,,,,,,
Whipsnakes logo,53,1.89%,0.00%,84.91%,9.43%,5.66%
Jake Bernhardt,,,,,,
Atlas logo,53,1.89%,1.89%,77.36%,18.87%,3.77%
Kyle Jackson,,,,,,
Chaos logo,53,0.00%,0.00%,79.25%,11.32%,9.43%
Eric Dobson,,,,,,
Cannons logo,52,1.92%,5.77%,73.08%,19.23%,7.69%
Alexander Vardaro,,,,,,
Cannons logo,52,5.77%,1.92%,69.23%,23.08%,7.69%
Graydon Hogg,,,,,,
Chaos logo,51,0.00%,0.00%,84.31%,5.88%,9.80%
Levi Verch,,,,,,
Cannons logo,50,4.00%,2.00%,74.00%,22.00%,4.00%
Jules Heningburg,,,,,,
Cannons logo,49,0.00%,0.00%,95.92%,0.00%,4.08%
Zach Goodrich,,,,,,
Cannons logo,49,4.08%,4.08%,75.51%,20.41%,4.08%
Owen Grant,,,,,,
Waterdogs logo,47,0.00%,2.13%,97.87%,2.13%,0.00%
Kenny Brower,,,,,,
Whipsnakes logo,47,0.00%,0.00%,95.74%,2.13%,2.13%
Brendan Krebs,,,,,,
Cannons logo,44,9.09%,0.00%,59.09%,29.55%,11.36%
Zac Tucci,,,,,,
Chaos logo,43,2.33%,4.65%,93.02%,4.65%,2.33%
Ray Dearth,,,,,,
Archers logo,42,0.00%,0.00%,90.48%,0.00%,9.52%
Warren Jeffrey,,,,,,
Cannons logo,41,2.44%,0.00%,75.61%,17.07%,7.32%
Ethan Rall,,,,,,
Redwoods logo,40,0.00%,0.00%,90.00%,5.00%,5.00%
BJ Farrare,,,,,,
Waterdogs logo,38,0.00%,2.63%,86.84%,2.63%,10.53%
Marcus Hudgins,,,,,,
Cannons logo,37,0.00%,0.00%,89.19%,0.00%,10.81%
Bryce Young,,,,,,
Chaos logo,33,3.03%,0.00%,69.70%,30.30%,0.00%
Scott Smith,,,,,,
Redwoods logo,32,0.00%,0.00%,90.63%,0.00%,9.38%
Arden Cohen,,,,,,
Outlaws logo,30,0.00%,0.00%,90.00%,3.33%,6.67%
Alexander Smith,,,,,,
Waterdogs logo,30,6.67%,0.00%,73.33%,20.00%,6.67%
Mikie Schlosser,,,,,,
Archers logo,27,7.41%,3.70%,66.67%,11.11%,22.22%
Cam Wyers,,,,,,
Waterdogs logo,26,11.54%,0.00%,76.92%,11.54%,11.54%
Christian Scarpello,,,,,,
Archers logo,25,0.00%,4.00%,88.00%,0.00%,12.00%
Patrick Resch,,,,,,
Redwoods logo,25,0.00%,0.00%,96.00%,0.00%,4.00%
Cole Kastner,,,,,,
Archers logo,22,9.09%,0.00%,77.27%,18.18%,4.55%
Bryce Ford,,,,,,
Archers logo,22,0.00%,0.00%,72.73%,18.18%,9.09%
Max Merklinger,,,,,,
Outlaws logo,21,0.00%,0.00%,100.00%,0.00%,0.00%
Owen McElroy,,,,,,
Chaos logo,21,0.00%,4.76%,90.48%,0.00%,9.52%
Jack Posey,,,,,,
Waterdogs logo,20,0.00%,5.00%,65.00%,15.00%,20.00%
Michael Lampert,,,,,,
