,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Redwoods logo,113,0.88%,0.88%,84.07%,9.73%,6.19%
Brian Tevlin,,,,,,
Chaos logo,109,0.92%,1.83%,95.41%,1.83%,2.75%
Blaze Riorden,,,,,,
Outlaws logo,106,5.66%,5.66%,69.81%,24.53%,5.66%
Dalton Young,,,,,,
Redwoods logo,106,4.72%,3.77%,76.42%,17.92%,5.66%
Cole Kirst,,,,,,
Cannons logo,105,7.62%,0.00%,69.52%,25.71%,4.76%
Alexander Vardaro,,,,,,
Waterdogs logo,102,0.00%,0.00%,97.06%,0.98%,1.96%
Dillon Ward,,,,,,
Waterdogs logo,100,1.00%,1.00%,93.00%,3.00%,4.00%
Ben Randall,,,,,,
Atlas logo,100,2.00%,3.00%,83.00%,16.00%,1.00%
Ronan Jacoby,,,,,,
Chaos logo,100,5.00%,0.00%,69.00%,20.00%,11.00%
Eric Dobson,,,,,,
Chaos logo,95,5.26%,0.00%,77.89%,17.89%,4.21%
Sergio Perkovic,,,,,,
Archers logo,94,4.26%,0.00%,90.43%,9.57%,0.00%
Mason Woodward,,,,,,
Cannons logo,93,0.00%,0.00%,95.70%,0.00%,4.30%
Garrett Epple,,,,,,
Cannons logo,92,0.00%,1.09%,73.91%,19.57%,6.52%
Cade van Raaphorst,,,,,,
Redwoods logo,92,2.17%,2.17%,73.91%,18.48%,7.61%
Nakeie Montgomery,,,,,,
Whipsnakes logo,91,4.40%,1.10%,85.71%,7.69%,6.59%
Roman Puglise,,,,,,
Cannons logo,91,5.49%,4.40%,82.42%,12.09%,5.49%
Jeff Trainor,,,,,,
Atlas logo,90,3.33%,0.00%,85.56%,7.78%,6.67%
Chet Comizio,,,,,,
Atlas logo,90,0.00%,0.00%,97.78%,0.00%,2.22%
Liam Entenmann,,,,,,
Redwoods logo,88,4.55%,0.00%,82.95%,14.77%,2.27%
TD Ierlan,,,,,,
Archers logo,86,1.16%,0.00%,68.60%,9.30%,22.09%
Mike Sisselberger,,,,,,
Atlas logo,86,0.00%,0.00%,95.35%,2.33%,2.33%
Tim Troutner,,,,,,
Chaos logo,85,7.06%,1.18%,72.94%,22.35%,4.71%
Ian MacKay,,,,,,
Atlas logo,84,0.00%,2.38%,91.67%,2.38%,5.95%
Brett Makar,,,,,,
Outlaws logo,83,1.20%,1.20%,79.52%,14.46%,6.02%
Jake Piseno,,,,,,
Atlas logo,83,4.82%,1.20%,84.34%,9.64%,6.02%
Tyler Carpenter,,,,,,
Whipsnakes logo,83,1.20%,1.20%,89.16%,3.61%,7.23%
Ajax Zappitello,,,,,,
Chaos logo,82,1.22%,1.22%,91.46%,3.66%,4.88%
Patrick Resch,,,,,,
Atlas logo,82,9.76%,2.44%,62.20%,30.49%,7.32%
Jake Stevens,,,,,,
Whipsnakes logo,80,8.75%,0.00%,63.75%,31.25%,5.00%
Tucker Dordevic,,,,,,
Whipsnakes logo,78,5.13%,1.28%,79.49%,19.23%,1.28%
Jack Koras,,,,,,
Archers logo,78,5.13%,12.82%,74.36%,15.38%,10.26%
Jackson Morrill,,,,,,
Outlaws logo,78,0.00%,0.00%,94.87%,0.00%,5.13%
JT Giles-Harris,,,,,,
Outlaws logo,78,6.41%,1.28%,75.64%,17.95%,6.41%
Luke Wierman,,,,,,
Redwoods logo,77,2.60%,1.30%,80.52%,9.09%,10.39%
Jared Conners,,,,,,
Cannons logo,77,0.00%,0.00%,88.31%,6.49%,5.19%
Bubba Fairman,,,,,,
Whipsnakes logo,76,0.00%,0.00%,100.00%,0.00%,0.00%
Tim Muller,,,,,,
Waterdogs logo,76,5.26%,2.63%,69.74%,26.32%,3.95%
Matt Brandau,,,,,,
Chaos logo,76,6.58%,1.32%,75.00%,23.68%,1.32%
Zach Geddes,,,,,,
Redwoods logo,75,0.00%,0.00%,98.67%,0.00%,1.33%
Chris Conlin,,,,,,
Redwoods logo,74,1.35%,0.00%,87.84%,6.76%,5.41%
Chris Fake,,,,,,
Outlaws logo,73,0.00%,1.37%,86.30%,8.22%,5.48%
Michael Manley,,,,,,
Atlas logo,73,2.74%,0.00%,89.04%,10.96%,0.00%
Danny Logan,,,,,,
Redwoods logo,73,2.74%,0.00%,84.93%,10.96%,4.11%
Chris Merle,,,,,,
Redwoods logo,70,5.71%,1.43%,74.29%,21.43%,4.29%
Garrett Degnon,,,,,,
Whipsnakes logo,67,2.99%,2.99%,89.55%,7.46%,2.99%
Matthew Dunn,,,,,,
Waterdogs logo,66,1.52%,0.00%,90.91%,4.55%,4.55%
Christian Scarpello,,,,,,
Archers logo,66,0.00%,0.00%,93.94%,4.55%,1.52%
Connor Maher,,,,,,
Archers logo,62,1.61%,1.61%,93.55%,4.84%,1.61%
Beau Pederson,,,,,,
Chaos logo,61,0.00%,0.00%,90.16%,6.56%,3.28%
Troy Reh,,,,,,
Chaos logo,60,1.67%,0.00%,90.00%,3.33%,6.67%
Jack Rowlett,,,,,,
Waterdogs logo,60,3.33%,0.00%,70.00%,18.33%,11.67%
Matt Whitcher,,,,,,
Atlas logo,60,0.00%,0.00%,96.67%,0.00%,3.33%
Gavin Adler,,,,,,
Redwoods logo,59,0.00%,1.69%,83.05%,8.47%,8.47%
Ryan Tierney,,,,,,
Waterdogs logo,59,0.00%,0.00%,93.22%,3.39%,3.39%
Eli Gobrecht,,,,,,
Cannons logo,59,0.00%,0.00%,94.92%,0.00%,5.08%
Bryce Young,,,,,,
Atlas logo,59,5.08%,0.00%,76.27%,18.64%,5.08%
Logan McGovern,,,,,,
Cannons logo,59,5.08%,0.00%,54.24%,37.29%,8.47%
Zac Tucci,,,,,,
Archers logo,58,1.72%,3.45%,72.41%,20.69%,6.90%
Ryan Aughavin,,,,,,
Whipsnakes logo,56,1.79%,0.00%,67.86%,23.21%,8.93%
Garrett Leadmon,,,,,,
Whipsnakes logo,55,1.82%,1.82%,83.64%,9.09%,7.27%
Jake Bernhardt,,,,,,
Whipsnakes logo,55,1.82%,1.82%,90.91%,7.27%,1.82%
Colin Squires,,,,,,
Waterdogs logo,55,0.00%,3.64%,92.73%,5.45%,1.82%
Jake Richard,,,,,,
Chaos logo,53,0.00%,0.00%,94.34%,0.00%,5.66%
Austin Kaut,,,,,,
Chaos logo,51,1.96%,1.96%,62.75%,21.57%,15.69%
Nick Rowlett,,,,,,
Waterdogs logo,51,0.00%,0.00%,96.08%,0.00%,3.92%
Matt DeLuca,,,,,,
Atlas logo,51,3.92%,3.92%,74.51%,21.57%,3.92%
Koby Smith,,,,,,
Outlaws logo,50,0.00%,2.00%,98.00%,2.00%,0.00%
Jesse Bernhardt,,,,,,
Cannons logo,49,2.04%,2.04%,81.63%,12.24%,6.12%
Ethan Rall,,,,,,
Redwoods logo,49,0.00%,2.04%,93.88%,2.04%,4.08%
Arden Cohen,,,,,,
Outlaws logo,46,0.00%,4.35%,95.65%,0.00%,4.35%
Will Haus,,,,,,
Archers logo,46,8.70%,4.35%,78.26%,19.57%,2.17%
Jack VanOverbeke,,,,,,
Atlas logo,45,0.00%,0.00%,91.11%,2.22%,6.67%
Michael Rexrode,,,,,,
Archers logo,45,0.00%,0.00%,95.56%,0.00%,4.44%
Warren Jeffrey,,,,,,
Chaos logo,45,0.00%,0.00%,91.11%,2.22%,6.67%
Will Bowen,,,,,,
Waterdogs logo,43,9.30%,0.00%,72.09%,13.95%,13.95%
Ryland Rees,,,,,,
Chaos logo,43,0.00%,0.00%,88.37%,9.30%,2.33%
Jarrod Neumann,,,,,,
Archers logo,43,0.00%,0.00%,86.05%,4.65%,9.30%
Graeme Hossack,,,,,,
Waterdogs logo,43,0.00%,0.00%,97.67%,0.00%,2.33%
Marcus Hudgins,,,,,,
Whipsnakes logo,43,2.33%,0.00%,83.72%,13.95%,2.33%
Wheaton Jackoboice,,,,,,
Atlas logo,42,9.52%,4.76%,71.43%,23.81%,4.76%
Dylan Molloy,,,,,,
Waterdogs logo,40,5.00%,0.00%,85.00%,10.00%,5.00%
Mikie Schlosser,,,,,,
Archers logo,39,0.00%,2.56%,87.18%,10.26%,2.56%
Cam Wyers,,,,,,
Outlaws logo,39,7.69%,2.56%,76.92%,17.95%,5.13%
Logan Wisnauskas,,,,,,
Waterdogs logo,39,0.00%,0.00%,89.74%,5.13%,5.13%
Liam Byrnes,,,,,,
Atlas logo,36,5.56%,0.00%,83.33%,13.89%,2.78%
Payton Rezanka,,,,,,
Chaos logo,36,2.78%,0.00%,52.78%,33.33%,13.89%
Brayden Mayea,,,,,,
Cannons logo,33,0.00%,3.03%,90.91%,3.03%,6.06%
Zach Goodrich,,,,,,
Waterdogs logo,33,3.03%,0.00%,81.82%,12.12%,6.06%
Charlie Hayes,,,,,,
Archers logo,33,0.00%,0.00%,87.88%,6.06%,6.06%
Jon Robbins,,,,,,
Outlaws logo,29,0.00%,0.00%,93.10%,3.45%,3.45%
Nick Grill,,,,,,
Waterdogs logo,28,0.00%,7.14%,78.57%,14.29%,7.14%
Michael Boehm,,,,,,
Archers logo,27,14.81%,0.00%,48.15%,40.74%,11.11%
Dyson Williams,,,,,,
Atlas logo,27,18.52%,3.70%,55.56%,40.74%,3.70%
Payton Cormier,,,,,,
Outlaws logo,26,7.69%,0.00%,50.00%,46.15%,3.85%
Dylan Gergar,,,,,,
Chaos logo,26,0.00%,0.00%,73.08%,19.23%,7.69%
CJ Costabile,,,,,,
Waterdogs logo,26,0.00%,0.00%,73.08%,15.38%,11.54%
Alec Stathakis,,,,,,
Redwoods logo,25,0.00%,0.00%,88.00%,4.00%,8.00%
Holden Garlent,,,,,,
Atlas logo,24,8.33%,4.17%,54.17%,33.33%,12.50%
Reid Bowering,,,,,,
Waterdogs logo,24,0.00%,0.00%,83.33%,12.50%,4.17%
Chris Sabia,,,,,,
Cannons logo,24,0.00%,0.00%,87.50%,4.17%,8.33%
Mike Robinson,,,,,,
Outlaws logo,23,0.00%,0.00%,91.30%,0.00%,8.70%
Alexander Smith,,,,,,
Outlaws logo,22,4.55%,0.00%,86.36%,13.64%,0.00%
Greg Weyl,,,,,,
Whipsnakes logo,22,0.00%,0.00%,86.36%,4.55%,9.09%
Alex Mazzone,,,,,,
Cannons logo,20,0.00%,0.00%,70.00%,10.00%,20.00%
Jonathan Donville,,,,,,
