,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,
Archers logo,104,2.88%,0.96%,74.04%,11.54%,14.42%
Mike Sisselberger,,,,,,
Chrome logo,101,2.97%,4.95%,79.21%,11.88%,8.91%
Jesse King,,,,,,
Whipsnakes logo,101,6.93%,0.99%,78.22%,16.83%,4.95%
Connor Kirst,,,,,,
Archers logo,101,0.00%,2.97%,84.16%,8.91%,6.93%
Piper Bond,,,,,,
Chrome logo,97,2.06%,0.00%,75.26%,21.65%,3.09%
Colin Heacock,,,,,,
Chaos logo,92,1.09%,2.17%,94.57%,2.17%,3.26%
Will Bowen,,,,,,
Chrome logo,90,0.00%,0.00%,98.89%,0.00%,1.11%
JT Giles-Harris,,,,,,
Chaos logo,88,9.09%,3.41%,64.77%,29.55%,5.68%
Ian MacKay,,,,,,
Whipsnakes logo,88,0.00%,1.14%,97.73%,0.00%,2.27%
Kyle Bernlohr,,,,,,
Whipsnakes logo,87,5.75%,2.30%,81.61%,16.09%,2.30%
Keegan Khan,,,,,,
Waterdogs logo,87,0.00%,2.30%,90.80%,4.60%,4.60%
Liam Byrnes,,,,,,
Waterdogs logo,87,1.15%,0.00%,88.51%,6.90%,4.60%
Ben Randall,,,,,,
Redwoods logo,86,1.16%,0.00%,88.37%,6.98%,4.65%
Eddy Glazener,,,,,,
Chaos logo,85,2.35%,4.71%,94.12%,3.53%,2.35%
Patrick Resch,,,,,,
Atlas logo,85,5.88%,4.71%,76.47%,18.82%,4.71%
Brendan Curry,,,,,,
Atlas logo,85,0.00%,0.00%,92.94%,2.35%,4.71%
Brett Makar,,,,,,
Cannons logo,83,4.82%,0.00%,85.54%,8.43%,6.02%
Cade van Raaphorst,,,,,,
Redwoods logo,82,0.00%,0.00%,74.39%,19.51%,6.10%
Sergio Perkovic,,,,,,
Cannons logo,81,0.00%,0.00%,97.53%,2.47%,0.00%
Jack Kielty,,,,,,
Redwoods logo,81,0.00%,1.23%,92.59%,0.00%,7.41%
Garrett Epple,,,,,,
Archers logo,81,2.47%,2.47%,92.59%,4.94%,2.47%
Latrell Harris,,,,,,
Chaos logo,81,2.47%,1.23%,81.48%,7.41%,11.11%
Nick Rowlett,,,,,,
Chrome logo,80,0.00%,5.00%,93.75%,5.00%,1.25%
Jesse Bernhardt,,,,,,
Archers logo,80,0.00%,1.25%,93.75%,3.75%,2.50%
Graeme Hossack,,,,,,
Cannons logo,78,0.00%,6.41%,93.59%,5.13%,1.28%
Bubba Fairman,,,,,,
Archers logo,77,3.90%,1.30%,70.13%,18.18%,11.69%
Challen Rogers,,,,,,
Chaos logo,75,4.00%,4.00%,84.00%,12.00%,4.00%
Zach Geddes,,,,,,
Chaos logo,74,2.70%,0.00%,81.08%,13.51%,5.41%
Troy Reh,,,,,,
Redwoods logo,74,2.70%,0.00%,79.73%,14.86%,5.41%
Brian Tevlin,,,,,,
Cannons logo,73,2.74%,2.74%,82.19%,13.70%,4.11%
Jeff Trainor,,,,,,
Chrome logo,72,1.39%,1.39%,75.00%,9.72%,15.28%
Brendan Nichtern,,,,,,
Whipsnakes logo,72,0.00%,0.00%,97.22%,0.00%,2.78%
Brendan Krebs,,,,,,
Redwoods logo,71,0.00%,0.00%,92.96%,1.41%,5.63%
Isaiah Davis-Allen,,,,,,
Waterdogs logo,71,7.04%,0.00%,80.28%,16.90%,2.82%
Matt Whitcher,,,,,,
Atlas logo,71,5.63%,0.00%,78.87%,14.08%,7.04%
Danny Logan,,,,,,
Cannons logo,71,0.00%,1.41%,98.59%,0.00%,1.41%
Zach Goodrich,,,,,,
Whipsnakes logo,70,0.00%,1.43%,95.71%,1.43%,2.86%
Matthew Dunn,,,,,,
Chrome logo,70,5.71%,0.00%,80.00%,15.71%,4.29%
Mike Messenger,,,,,,
Atlas logo,69,0.00%,0.00%,92.75%,0.00%,7.25%
Jack Concannon,,,,,,
Chrome logo,67,0.00%,0.00%,73.13%,2.99%,23.88%
Connor Farrell,,,,,,
Whipsnakes logo,67,7.46%,2.99%,61.19%,32.84%,5.97%
Michael Ehrhardt,,,,,,
Whipsnakes logo,67,0.00%,0.00%,95.52%,1.49%,2.99%
Tim Muller,,,,,,
Atlas logo,66,3.03%,3.03%,72.73%,21.21%,6.06%
Marc O'Rourke,,,,,,
Chaos logo,65,0.00%,0.00%,93.85%,4.62%,1.54%
Jack Rowlett,,,,,,
Whipsnakes logo,65,4.62%,0.00%,81.54%,12.31%,6.15%
Roman Puglise,,,,,,
Whipsnakes logo,63,1.59%,0.00%,85.71%,6.35%,7.94%
Bryce Young,,,,,,
Archers logo,62,8.06%,1.61%,79.03%,14.52%,6.45%
Connor Maher,,,,,,
Atlas logo,62,0.00%,0.00%,96.77%,3.23%,0.00%
Jake Richard,,,,,,
Chrome logo,61,1.64%,1.64%,90.16%,8.20%,1.64%
Will Haus,,,,,,
Waterdogs logo,61,0.00%,0.00%,96.72%,0.00%,3.28%
Dillon Ward,,,,,,
Chrome logo,60,3.33%,3.33%,83.33%,10.00%,6.67%
Jack Myers,,,,,,
Waterdogs logo,60,0.00%,0.00%,100.00%,0.00%,0.00%
Matt DeLuca,,,,,,
Waterdogs logo,60,1.67%,1.67%,95.00%,3.33%,1.67%
Christian Scarpello,,,,,,
Chaos logo,59,6.78%,0.00%,64.41%,28.81%,6.78%
Chase Fraser,,,,,,
Chrome logo,58,0.00%,1.72%,94.83%,1.72%,3.45%
Alexander Smith,,,,,,
