,Touches,Goalm Rate,Assist Rate,Pass Rate,Shot Rate,Turnover Rate
Atlas logo,106,8.49%,2.83%,62.26%,29.25%,8.49%
Daniel Bucaro,,,,,,
Whipsnakes logo,105,6.67%,0.95%,73.33%,21.90%,4.76%
Connor Kirst,,,,,,
Redwoods logo,104,5.77%,1.92%,75.00%,22.12%,2.88%
Nakeie Montgomery,,,,,,
Whipsnakes logo,101,5.94%,2.97%,72.28%,17.82%,9.90%
Keegan Khan,,,,,,
Cannons logo,101,3.96%,4.95%,76.24%,19.80%,3.96%
Chris Aslanian,,,,,,
Atlas logo,99,4.04%,1.01%,69.70%,22.22%,8.08%
John Crawley,,,,,,
Waterdogs logo,97,4.12%,0.00%,76.29%,18.56%,5.15%
Mikie Schlosser,,,,,,
Atlas logo,96,0.00%,0.00%,93.75%,0.00%,6.25%
Jack Concannon,,,,,,
Redwoods logo,92,0.00%,0.00%,91.30%,1.09%,7.61%
Jack Kelly,,,,,,
Atlas logo,92,5.43%,3.26%,68.48%,29.35%,2.17%
Romar Dennis,,,,,,
Cannons logo,90,4.44%,1.11%,83.33%,13.33%,3.33%
Bubba Fairman,,,,,,
Chrome logo,90,2.22%,2.22%,87.78%,8.89%,3.33%
Will Haus,,,,,,
Atlas logo,90,4.44%,2.22%,87.78%,8.89%,3.33%
Danny Logan,,,,,,
Whipsnakes logo,89,11.24%,4.49%,56.18%,31.46%,12.36%
Jay Carlson,,,,,,
Chaos logo,89,1.12%,0.00%,95.51%,3.37%,1.12%
Troy Reh,,,,,,
Cannons logo,87,5.75%,0.00%,74.71%,16.09%,9.20%
Ryan Tierney,,,,,,
Cannons logo,82,1.22%,0.00%,90.24%,7.32%,2.44%
Zach Goodrich,,,,,,
Chrome logo,82,2.44%,0.00%,73.17%,13.41%,13.41%
Connor Farrell,,,,,,
Redwoods logo,82,1.22%,1.22%,82.93%,6.10%,10.98%
TD Ierlan,,,,,,
Chrome logo,80,1.25%,2.50%,90.00%,7.50%,2.50%
Michael Manley,,,,,,
Whipsnakes logo,80,3.75%,2.50%,68.75%,21.25%,10.00%
Michael Ehrhardt,,,,,,
Chrome logo,80,0.00%,0.00%,93.75%,1.25%,5.00%
Jesse Bernhardt,,,,,,
Waterdogs logo,79,12.66%,0.00%,43.04%,54.43%,2.53%
Ryan Brown,,,,,,
Waterdogs logo,79,0.00%,0.00%,86.08%,5.06%,8.86%
Liam Byrnes,,,,,,
Atlas logo,77,1.30%,1.30%,90.91%,5.19%,3.90%
Jake Richard,,,,,,
Chrome logo,76,0.00%,0.00%,94.74%,0.00%,5.26%
JT Giles-Harris,,,,,,
Chaos logo,76,1.32%,1.32%,89.47%,5.26%,5.26%
Patrick Resch,,,,,,
Atlas logo,75,4.00%,1.33%,77.33%,16.00%,6.67%
Cade van Raaphorst,,,,,,
Whipsnakes logo,74,1.35%,0.00%,97.30%,1.35%,1.35%
Tyler Warner,,,,,,
Archers logo,74,0.00%,0.00%,93.24%,4.05%,2.70%
Graeme Hossack,,,,,,
Chrome logo,74,1.35%,4.05%,82.43%,14.86%,2.70%
Kevin Rogers,,,,,,
Redwoods logo,73,0.00%,0.00%,93.15%,1.37%,5.48%
Isaiah Davis-Allen,,,,,,
Waterdogs logo,73,0.00%,1.37%,95.89%,0.00%,4.11%
Dillon Ward,,,,,,
Chaos logo,72,2.78%,1.39%,83.33%,9.72%,6.94%
Tanner Cook,,,,,,
Chaos logo,72,8.33%,1.39%,66.67%,26.39%,6.94%
CJ Costabile,,,,,,
Archers logo,69,2.90%,0.00%,91.30%,4.35%,4.35%
Latrell Harris,,,,,,
Redwoods logo,68,0.00%,0.00%,94.12%,1.47%,4.41%
Garrett Epple,,,,,,
Cannons logo,68,5.88%,1.47%,77.94%,10.29%,11.76%
Stephen Kelly,,,,,,
Cannons logo,67,0.00%,0.00%,94.03%,0.00%,5.97%
Jack Kielty,,,,,,
Archers logo,66,1.52%,1.52%,98.48%,1.52%,0.00%
Dominique Alexander,,,,,,
Waterdogs logo,66,0.00%,0.00%,90.91%,9.09%,0.00%
Matt Whitcher,,,,,,
Whipsnakes logo,65,0.00%,0.00%,96.92%,0.00%,3.08%
Tim Muller,,,,,,
Waterdogs logo,61,1.64%,1.64%,95.08%,3.28%,1.64%
Eli Gobrecht,,,,,,
Whipsnakes logo,60,1.67%,0.00%,76.67%,18.33%,5.00%
Wheaton Jackoboice,,,,,,
Waterdogs logo,59,3.39%,1.69%,84.75%,8.47%,6.78%
Ben Randall,,,,,,
Cannons logo,59,10.17%,0.00%,50.85%,44.07%,5.08%
Mark Cockerton,,,,,,
Chrome logo,58,8.62%,3.45%,75.86%,20.69%,3.45%
Cole Williams,,,,,,
Chaos logo,58,5.17%,5.17%,74.14%,17.24%,8.62%
Wes Berg,,,,,,
Cannons logo,57,1.75%,0.00%,75.44%,8.77%,15.79%
Jake Pulver,,,,,,
Chrome logo,56,7.14%,3.57%,76.79%,19.64%,3.57%
Eli Salama,,,,,,
Redwoods logo,56,3.57%,0.00%,85.71%,10.71%,3.57%
Eddy Glazener,,,,,,
Atlas logo,55,1.82%,1.82%,85.45%,7.27%,7.27%
Craig Chick,,,,,,
Redwoods logo,54,0.00%,0.00%,88.89%,3.70%,7.41%
Matt Rahill,,,,,,
Chrome logo,54,11.11%,0.00%,70.37%,18.52%,11.11%
Mike Messenger,,,,,,
Archers logo,54,0.00%,7.41%,75.93%,7.41%,16.67%
Jared Conners,,,,,,
Chaos logo,53,1.89%,0.00%,92.45%,3.77%,3.77%
Jack Rowlett,,,,,,
Cannons logo,52,1.92%,0.00%,82.69%,5.77%,11.54%
Holden Garlent,,,,,,
Atlas logo,52,0.00%,0.00%,94.23%,0.00%,5.77%
Michael Rexrode,,,,,,
Waterdogs logo,51,0.00%,1.96%,94.12%,1.96%,3.92%
Jake Higgins,,,,,,
Whipsnakes logo,51,0.00%,0.00%,92.16%,1.96%,5.88%
Matthew Dunn,,,,,,
Whipsnakes logo,48,0.00%,0.00%,93.75%,0.00%,6.25%
Bryce Young,,,,,,
Archers logo,48,6.25%,0.00%,83.33%,16.67%,0.00%
Jeff Trainor,,,,,,
Whipsnakes logo,47,8.51%,0.00%,68.09%,25.53%,6.38%
Jackson Reid,,,,,,
Chaos logo,47,0.00%,2.13%,76.60%,12.77%,10.64%
Jarrod Neumann,,,,,,
Redwoods logo,47,0.00%,0.00%,97.87%,0.00%,2.13%
Tim Troutner,,,,,,
Whipsnakes logo,47,2.13%,0.00%,95.74%,4.26%,0.00%
Jake Bernhardt,,,,,,
Redwoods logo,46,0.00%,0.00%,97.83%,0.00%,2.17%
Jack Near,,,,,,
Waterdogs logo,45,0.00%,0.00%,97.78%,0.00%,2.22%
Matt DeLuca,,,,,,
Atlas logo,45,2.22%,4.44%,77.78%,11.11%,11.11%
Peter Dearth,,,,,,
Waterdogs logo,44,6.82%,2.27%,68.18%,25.00%,6.82%
Ryland Rees,,,,,,
Chaos logo,39,0.00%,0.00%,89.74%,5.13%,5.13%
Zach Geddes,,,,,,
Redwoods logo,37,0.00%,0.00%,89.19%,0.00%,10.81%
Arden Cohen,,,,,,
Chrome logo,36,2.78%,0.00%,83.33%,11.11%,5.56%
John Ranagan,,,,,,
Archers logo,36,0.00%,2.78%,91.67%,0.00%,8.33%
Mark McNeill,,,,,,
Atlas logo,35,2.86%,0.00%,60.00%,34.29%,5.71%
Brendan Curry,,,,,,
Chaos logo,35,2.86%,0.00%,91.43%,2.86%,5.71%
Mark Glicini,,,,,,
Archers logo,34,5.88%,0.00%,82.35%,17.65%,0.00%
Justin Inacio,,,,,,
Cannons logo,34,0.00%,2.94%,91.18%,0.00%,8.82%
Brodie Merrill,,,,,,
Atlas logo,33,3.03%,0.00%,75.76%,24.24%,0.00%
Jake Carraway,,,,,,
Waterdogs logo,33,0.00%,3.03%,100.00%,0.00%,0.00%
Christian Scarpello,,,,,,
Redwoods logo,33,6.06%,0.00%,81.82%,12.12%,6.06%
Kyle Hartzell,,,,,,
Whipsnakes logo,32,0.00%,0.00%,96.88%,3.13%,0.00%
Brennan Kamish,,,,,,
Atlas logo,32,0.00%,0.00%,93.75%,0.00%,6.25%
Tucker Durkin,,,,,,
Chrome logo,31,0.00%,0.00%,93.55%,0.00%,6.45%
Nick Grill,,,,,,
Waterdogs logo,29,3.45%,0.00%,82.76%,10.34%,6.90%
Jake Withers,,,,,,
Atlas logo,28,10.71%,0.00%,67.86%,17.86%,14.29%
Koby Smith,,,,,,
Waterdogs logo,28,0.00%,10.71%,89.29%,7.14%,3.57%
Chris Sabia,,,,,,
Whipsnakes logo,28,0.00%,0.00%,92.86%,0.00%,7.14%
Colin Squires,,,,,,
Redwoods logo,27,3.70%,3.70%,51.85%,33.33%,14.81%
Joe Robertson,,,,,,
Chaos logo,27,0.00%,0.00%,77.78%,14.81%,7.41%
Ian MacKay,,,,,,
